trade_id;timestamp;exchange;symbol;side;quantity;price_usd;fee_usd
TRD-0001;2025-10-01T09:00:00Z;Binance;BTC;BUY;0,03141403;105507,74;3,31
TRD-0002;2025-10-02T02:00:00Z;Binance;ETH;BUY;0,720874;3593,94;2,59
TRD-0003;2025-10-02T19:00:00Z;Binance;SOL;BUY;21,1540;218,598;4,62
TRD-0004;2025-10-03T12:00:00Z;Binance;CKB;BUY;464558;0,00723980;3,36
TRD-0005;2025-10-04T05:00:00Z;Binance;DOGE;BUY;16367,54;0,265970;4,35
TRD-0006;2025-10-04T22:00:00Z;Coinbase;BTC;BUY;0,03986831;106867,95;25,56
TRD-0007;2025-10-05T15:00:00Z;Coinbase;ETH;BUY;0,805665;3633,14;17,56
TRD-0008;2025-10-06T08:00:00Z;Coinbase;SOL;BUY;7,0265;224,160;9,45
TRD-0009;2025-10-07T01:00:00Z;Coinbase;CKB;BUY;575810;0,00753767;26,04
TRD-0010;2025-10-07T18:00:00Z;Coinbase;DOGE;BUY;10551,44;0,272123;17,23
TRD-0011;2025-10-10T09:03:00Z;Binance;BTC;BUY;0,02674737;107739,91;2,88
TRD-0012;2025-10-11T02:04:00Z;Binance;ETH;BUY;1,310094;3681,19;4,82
TRD-0013;2025-10-11T19:05:00Z;Binance;SOL;BUY;18,7178;232,829;4,36
TRD-0014;2025-10-12T12:06:00Z;Binance;CKB;BUY;219723;0,00790082;1,74
TRD-0015;2025-10-13T05:07:00Z;Binance;DOGE;BUY;18138,97;0,273924;4,97
TRD-0016;2025-10-13T22:08:00Z;Coinbase;BTC;BUY;0,04677948;108418,13;30,43
TRD-0017;2025-10-14T15:09:00Z;Coinbase;ETH;BUY;1,063740;3734,03;23,83
TRD-0018;2025-10-15T08:10:00Z;Coinbase;SOL;BUY;15,7570;239,218;22,62
TRD-0019;2025-10-16T01:11:00Z;Coinbase;CKB;BUY;638165;0,00807512;30,92
TRD-0020;2025-10-16T18:12:00Z;Coinbase;DOGE;BUY;18761,19;0,271345;30,54
