trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
X-01,2025-10-01T09:00:00Z,Binance,BTC,BUY,0.5,100000,5
X-02,2025-10-02T09:00:00Z,binance,BTC,BUY,0.1,100000,1
X-03,2025-10-03T09:00:00Z,Coinbase,XRP,BUY,100,0.5,1
X-04,2025-10-04T09:00:00Z,Coinbase,ETH,Buy,1,3500,2
X-05,2025-02-29T09:00:00Z,Coinbase,ETH,BUY,1,3500,2
X-06,10/05/2025 09:00,Binance,SOL,BUY,1,200,1
X-07,2025-10-06T09:00:00Z,Binance,SOL,BUY,0,200,1
X-08,2025-10-07T09:00:00Z,Binance,SOL,BUY,1,-200,1
X-09,2025-10-08T09:00:00Z,Binance,DOGE,BUY,1000,0.25,-0.5
X-10,2025-10-09T09:00:00Z,Binance,DOGE,BUY,1000,"0,25",1
X-11,2025-10-10T09:00:00Z,Binance,DOGE,BUY,1e3,0.25,1
,2025-10-11T09:00:00Z,Binance,CKB,BUY,100000,0.007,1
X-13,2025-10-12T09:00:00+07:00,Binance,CKB,BUY,100000,0.007,1
