trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
Z-001,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-002,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-003,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-004,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-005,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-006,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-007,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-008,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-009,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-010,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-011,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-012,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-013,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-014,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-015,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-016,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-017,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-018,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-019,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-020,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-021,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-022,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-023,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-024,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-025,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-026,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-027,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-028,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-029,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-030,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-031,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-032,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-033,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-034,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-035,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-036,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-037,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-038,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-039,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-040,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-041,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-042,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-043,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-044,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-045,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-046,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-047,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-048,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-049,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-050,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-051,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-052,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-053,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-054,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-055,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-056,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-057,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-058,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-059,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-060,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-061,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-062,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-063,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-064,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-065,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-066,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-067,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-068,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-069,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-070,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-071,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-072,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-073,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-074,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-075,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-076,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-077,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-078,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-079,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-080,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-081,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-082,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-083,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-084,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-085,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-086,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-087,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-088,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-089,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-090,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
Z-091,2025-10-01T09:00:00Z,Binance,BTC,BUY,-1,100,1
